0,250
1,253.340358111236
2,261.510684282844
3,282.25685702983
4,337.593690460066
5,461.559733547661
6,551.779480807521
7,565.650203283275
8,566.810345883073
9,566.900465250994
10,566.907302942907
11,566.907857710228
12,566.907923333639
13,566.907923916309
14,566.90791605807
15,566.907911490262
16,566.907910500708
17,566.907910363925
18,566.907910227143
19,566.907910090361
20,566.907909953578
21,566.907909816796
22,566.907909680014
23,566.907909543232
24,566.907909406449
25,566.907909269667
26,566.907909132885
27,566.907908996102
28,566.907908880963
29,566.907908876866
30,566.907908872769
31,566.907908868673
32,566.907908864576
33,566.907908860479
34,566.907908856382
35,566.907908852285
36,566.907908848188
37,566.907908844091
38,566.907908839994
39,566.907908835898
40,566.907908831801
41,566.907908829822
42,566.90790882981
43,566.907908829797
44,566.907908829784
45,566.907908829772
46,566.907908829759
47,566.907908829747
48,566.907908829734
49,566.907908829721
50,566.907908829709
